job_title,company_name,company_location,workplace_type,post_date,applicants,job_type,experience,company_size,industry
Data Analyst (f/m/d),talentsconnect AG, North Rhine-Westphalia,On-site,2 months ago,34,Full-time , Entry level,medium, Software Development
Mitarbeiter (m/w/d) Auftragsmanagement & Datenanalyse im Messstellenbetrieb (Strom und Gas),E.ON Grid Solutions, Hamburg,Hybrid,2 hours ago,0,Full-time , Entry level,large, Utilities
Working Student Business Intelligence (m/f/d),enmacc, Bavaria,On-site,3 weeks ago,85,Full-time , Internship,medium, IT Services and IT Consulting
DH Studium Wirtschaftsinformatik - Data Science (m/w/d) - Beginn 2023,Weinmann Aach AG, Baden-Württemberg,On-site,1 month ago,0,Full-time , Entry level,medium," Transportation, Logistics, Supply Chain and Storage"
Bioinformatics Data Analyst in Bioinformatics Industry (m/f/d),Scionics Computer Innovation GmbH, Saxony,On-site,1 month ago,46,Full-time , Entry level,small, IT Services and IT Consulting
"Research Associate / PhD Student, School of Embedded Composite AI (SECAI)",Technische Universität Dresden, Saxony,On-site,1 month ago,16,Part-time , Internship,large, Research
Data Scientist,Apiax, Hesse,On-site,1 week ago,59,Full-time , Entry level,medium, IT Services and IT Consulting
(Junior) Data Analyst/ Data Scientist (m/w/d),DeutschlandCard GmbH | Bertelsmann SE & Co. KGaA, Bavaria,On-site,1 week ago,54,Full-time , Mid-Senior level,medium," Technology, Information and Internet"
Intern in LLM (Large Language Model) - Generative AI,Cerence Inc., North Rhine-Westphalia,On-site,3 weeks ago,42,Full-time , Internship,large, Software Development
Data Analyst (w/m/d),Robert Half, North Rhine-Westphalia,On-site,1 month ago,9,Full-time , Entry level,large, Staffing and Recruiting
Trainee Data Consultant (m/w/d),taod Consulting GmbH, North Rhine-Westphalia,Hybrid,4 days ago,1,Full-time , Entry level,small, Business Consulting and Services
Werkstudent im Bereich Data Science (m/w/d),mgm technology partners, Hamburg,Hybrid,1 month ago,12,Part-time , Internship,medium, IT Services and IT Consulting
Senior Data Scientist/ Analyst Logistics (all genders),PowerCo SE, Lower Saxony,On-site,1 month ago,7,Full-time , Mid-Senior level,medium, Motor Vehicle Manufacturing
Technical Product Analyst (f/m/d),nebenan.de, Berlin,On-site,3 days ago,7,Full-time , Mid-Senior level,medium," Technology, Information and Internet"
(Senior) Data Analyst (w/m/d),freenet AG, Hamburg,Hybrid,4 weeks ago,9,Full-time , Mid-Senior level,large, Telecommunications
Young Professional Big Data Analyst (m/w/d) ←,Talentschmiede Unternehmensberatung AG, Hesse,On-site,2 months ago,5,Full-time , Entry level,medium, IT Services and IT Consulting
Projektleitung (w/m/d) im Bereich Data Science Predictive Maintenance,Siemens, Bavaria,On-site,10 months ago,31,Full-time , Entry level,large, Automation Machinery Manufacturing
Data Science Manager (f/m/d),kloeckner.i GmbH, Berlin,Hybrid,5 days ago,6,Full-time , Mid-Senior level,medium, Internet Publishing
Student Assistant (m/f/div) Interpersonal Synchrony Analysis Project,Max Planck Institute for Intelligent Systems, Baden-Württemberg,On-site,7 hours ago,0,Internship , Internship,medium, Research Services
Data Analytics Training | Bildungsgutschein,SCALEWORK, Berlin,On-site,5 days ago,1,Contract , Entry level,small, IT Services and IT Consulting
Data Engineer / Data Analyst (m/w/d),Bank11 für Privatkunden und Handel GmbH, North Rhine-Westphalia,On-site,1 week ago,25,Full-time , Entry level,medium, Financial Services
Data Analyst - Digital Marketing (all genders),Native Instruments, Germany,On-site,1 month ago,45,Full-time , Entry level,medium, Musicians
Data Scientist (m/w/d),apetito AG, North Rhine-Westphalia,Hybrid,3 weeks ago,35,Full-time , Entry level,large, Food Production
Data Scientist and Process Mining Architect,Processand, Bavaria,Hybrid,1 month ago,3,Full-time , Entry level,medium, IT Services and IT Consulting
Internship on Business and Data Analysis (all genders),Convolut, Bavaria,On-site,3 weeks ago,7,Internship , Internship,small, Information Technology & Services
Young Professional Client Data Analyst (m/f/d) ←,Talentschmiede Unternehmensberatung AG, Berlin,On-site,2 months ago,73,Full-time , Entry level,medium, IT Services and IT Consulting
Data Science - Studentische Hilfskraft / Praktikant/-in (m/w/d),logarithmo GmbH & Co. KG, North Rhine-Westphalia,On-site,3 days ago,13,Part-time , Internship,small, Software Development
Head of Data Analysis DEU (m/f/d),Nordex Group, Hamburg,Hybrid,2 months ago,12,Full-time , Mid-Senior level,large, Renewable Energy Semiconductor Manufacturing
Data Scientist – Maschinelles Lernen und fachliche Führung (m/w/d),Professional Scientists GmbH & Co. KG, Baden-Württemberg,On-site,4 days ago,10,Full-time , Entry level,small, Staffing and Recruiting
Data Analyst (m/w/d),ODW-ELEKTRIK, Hesse,On-site,2 weeks ago,20,Full-time , Entry level,large, Automotive
"Bachelor of Science (m/w/d) Data Science and Artificial Intelligence, Start 2024",TecAlliance, Bavaria,On-site,6 days ago,0,Full-time , Internship,medium, Information Technology & Services
