job_title,company_name,company_location,workplace_type,post_date,applicants,jobtype_experience,company_size_industry
Teamleitung Stammdatenmanagement und Data Science (m/w/d),SportScheck,"München, Bavaria, Germany",On-site,1 week ago,,Full-time · Mid-Senior level,"1,001-5,000 employees · Sporting Goods Manufacturing"
Student in Data Analytics (m/f/x),assetbird,"Berlin, Berlin, Germany",On-site,3 days ago,8 applicants,Full-time · Internship,11-50 employees · IT Services and IT Consulting
Informatiker (Data Science / Data Analysis) m/w/d,Business Data Solutions GmbH & Co. KG,"Rimpar, Bavaria, Germany",On-site,1 week ago,1 applicant,Full-time · Mid-Senior level,11-50 employees · Information Services
Analyst,Urban Science,"Frankfurt am Main, Hesse, Germany",Hybrid,6 days ago,35 applicants,Full-time · Entry level,"501-1,000 employees · Automotive"
In-house Analyst Consultant - Junior (m/w/d),Picnic Technologies,"Aachen, North Rhine-Westphalia, Germany",On-site,4 weeks ago,11 applicants,Full-time · Entry level,"5,001-10,000 employees · Retail"
Data Scientist - Advanced Analytics & AI (Munich office or Germany remote),Userlane,Germany,Remote,2 weeks ago,,Full-time,51-200 employees · Software Development
Data Scientist (all gender),Havas Media Germany,"Frankfurt am Main, Hesse, Germany",Hybrid,1 month ago,3 applicants,Full-time · Entry level,201-500 employees · Advertising Services
Data Analyst (m/f/d),DEUFOL,"Hofheim, Hesse, Germany",On-site,12 hours ago,52 applicants,Contract · Entry level,"1,001-5,000 employees · Transportation, Logistics, Supply Chain and Storage"
"Doktorand im Bereich Data Science, AI & Fahrzeuganalyse: Maschinelles Lernen / DeepLearning (w/m/x)",BMW Group,"München, Bavaria, Germany",Hybrid,1 month ago,12 applicants,Full-time · Internship,"10,001+ employees · Motor Vehicle Manufacturing"
Data Scientist,receeve,"Hamburg, Hamburg, Germany",On-site,1 month ago,120 applicants,Full-time · Mid-Senior level,51-200 employees · Software Development
(Junior) Data Analyst (m/w/d) Team Procurement Beverages,flaschenpost SE,"Berlin, Berlin, Germany",On-site,1 month ago,40 applicants,Full-time · Mid-Senior level,"10,001+ employees · Food and Beverage Retail"
GIS & Geodata Specialist (f/m/d),OCELL,"Munich, Bavaria, Germany",On-site,6 days ago,36 applicants,Full-time · Entry level,11-50 employees · Software Development
Specialist (m/w/d) Reporting Schwerpunkt Business Intelligence,Kärcher,"Schwaikheim, Baden-Württemberg, Germany",On-site,1 month ago,,Full-time · Mid-Senior level,"10,001+ employees · Industrial Machinery Manufacturing"
Praktikant (m/w/x) Data Science,German Bionic,"Augsburg, Bavaria, Germany",On-site,2 weeks ago,3 applicants,Full-time · Internship,51-200 employees · Automation Machinery Manufacturing
Research Associate / PhD Student / Postdoc in Accelerator Mass Spectrometry,Technische Universität Dresden,"Dresden, Saxony, Germany",,4 days ago,5 applicants,Full-time · Internship,"10,001+ employees · Research"
Duales Studium - Data Science und Künstliche Intelligenz (B. Sc.) für 2024,Hirschvogel Group,"Denklingen, Bavaria, Germany",On-site,1 month ago,1 applicant,Full-time · Entry level,"5,001-10,000 employees · Automotive"
Data Analyst Battery Expert (all genders),PowerCo SE,"Salzgitter, Lower Saxony, Germany",Hybrid,3 weeks ago,15 applicants,Full-time · Entry level,"501-1,000 employees · Motor Vehicle Manufacturing"
Data Scientist (all gender),Havas Media Germany,"Frankfurt, Hesse, Germany",Hybrid,2 weeks ago,16 applicants,Full-time · Entry level,201-500 employees · Advertising Services
Intern/Working Student Data Analyst (f/m/d),Digital Charging Solutions,"München, Bavaria, Germany",Hybrid,1 month ago,,Internship · Internship,51-200 employees · Motor Vehicle Manufacturing
Business Analyst Performance Management & Data Analytics (w/m/x),BMW Group,"München, Bavaria, Germany",On-site,6 days ago,37 applicants,Full-time · Mid-Senior level,"10,001+ employees · Motor Vehicle Manufacturing"
"Student Researcher, 2023",Google,"Berlin, Berlin, Germany",Hybrid,1 month ago,,Internship,"10,001+ employees · Technology, Information and Internet"
Data Analyst for Finance (f/m/d),Allianz Global Investors,"Frankfurt, Hesse, Germany",,3 weeks ago,77 applicants,Full-time,"1,001-5,000 employees · Financial Services"
Praktikant Product Management (m/w/d),Exxeta,"Berlin, Berlin, Germany",On-site,6 days ago,3 applicants,Internship · Internship,"1,001-5,000 employees · Information Technology & Services"
Working Student (f/m/d) / Praktikum / Abschlussarbeit / CTA,Dunia,"Berlin, Berlin, Germany",On-site,1 week ago,24 applicants,Part-time · Entry level,1-10 employees · Nanotechnology Research
Junior Data Scientist/ML Engineer,CUJU,"Frankenthal, Rhineland-Palatinate, Germany",On-site,1 week ago,,Full-time · Entry level,"11-50 employees · Technology, Information and Internet"
Werkstudent – Data Science (w/m/d),Holzprofi24,"Offenbach, Hesse, Germany",On-site,2 weeks ago,5 applicants,Part-time · Internship,201-500 employees · Retail
Data Analyst (m/w/d),DIS AG,"Hannover, Lower Saxony, Germany",On-site,3 weeks ago,14 applicants,Full-time · Entry level,"5,001-10,000 employees · Human Resources Services"
Controller (w/m/x) - Data Management und Business Intelligence,BMW Group,"München, Bavaria, Germany",On-site,5 days ago,18 applicants,Full-time,"10,001+ employees · Motor Vehicle Manufacturing"
Junior Logistics Data Analyst (m/w/d),flaschenpost SE,"Münster, North Rhine-Westphalia, Germany",On-site,1 month ago,3 applicants,Full-time · Mid-Senior level,"10,001+ employees · Food and Beverage Retail"
Data Analyst (m/w/d) ab sofort,Auto Fleet Control,"Hamburg, Hamburg, Germany",On-site,1 week ago,7 applicants,Full-time · Entry level,201-500 employees · Insurance
Business & Data Analyst,"Solera, Inc.",Germany,Remote,2 months ago,,Full-time · Mid-Senior level,"5,001-10,000 employees · Information Technology & Services"
(Junior) Consultant Data Science (m/w/d),BIVAL GmbH,"Ingolstadt, Bavaria, Germany",On-site,1 month ago,1 applicant,Full-time · Entry level,11-50 employees · IT Services and IT Consulting
Data Analysis Manager (m/f/d),Panasonic Heating & Cooling Solutions Europe,"Wiesbaden, Hesse, Germany",On-site,3 weeks ago,6 applicants,Full-time,"10,001+ employees · Appliances, Electrical, and Electronics Manufacturing"
Data Scientist/Engineer,InvisID (by DeepSign GmbH),Germany,Remote,1 week ago,,Full-time · Entry level,11-50 employees · Computer and Network Security
Duales Studium - Data Science und Künstliche Intelligenz (B. Sc.),Hirschvogel Holding GmbH,"Denklingen, Bavaria, Germany",Remote,2 weeks ago,4 applicants,Part-time · Entry level,Retail
Junior Professionals for Integrated Program and Capacity Planning Mercedes-Benz Cars for Future Leaders Programme Inspire - the Leaders Lab (f/m/x),Mercedes-Benz Group AG,"Stuttgart, Baden-Württemberg, Germany",On-site,3 weeks ago,40 applicants,Full-time · Entry level,"10,001+ employees · Motor Vehicle Manufacturing"
2023-106-LV technische*n Angestellte*n (Bachelor/FH-Dipl)Datenman.u.-analyse/Data Science (w/m/d),"Johann Heinrich von Thünen- Institut für Ländliche Räume, Wald und Fischerei","Brunswick, Lower Saxony, Germany",On-site,4 days ago,,Full-time · Entry level,"See recent hiring trends for Johann Heinrich von Thünen- Institut für Ländliche Räume, Wald und Fischerei. Try Premium for free"
